City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Miasskoye,RU,55.2784,61.8905,-4.0,59,40,13.42,light snow
1,Georgetown,MY,5.4112,100.3354,82.0,78,20,2.3,few clouds
2,Thompson,CA,55.7435,-97.8558,-27.4,68,75,14.97,snow
3,Jamestown,US,42.097,-79.2353,12.99,72,90,10.36,light snow
4,Avarua,CK,-21.2078,-159.775,84.2,79,40,10.36,light rain
5,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,100,1.99,light rain
6,La Ronge,CA,55.1001,-105.2842,-31.0,61,0,4.61,clear sky
7,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,14.97,light snow
8,Ushuaia,AR,-54.8,-68.3,51.8,82,75,9.22,broken clouds
9,Yellowknife,CA,62.456,-114.3525,-34.01,67,40,8.05,scattered clouds
10,Bambous Virieux,MU,-20.3428,57.7575,79.0,83,40,5.75,light rain
11,Hunchun,CN,42.8675,130.3581,8.01,81,0,14.47,clear sky
12,Ahipara,NZ,-35.1667,173.1667,72.79,58,46,10.07,scattered clouds
13,North Bend,US,43.4065,-124.2243,48.2,71,75,6.91,broken clouds
14,Cherskiy,RU,68.75,161.3,5.65,74,0,5.61,clear sky
15,Moerai,PF,-22.4333,-151.3333,82.08,69,21,8.66,few clouds
16,Manaure,CO,11.7751,-72.4445,78.73,70,99,15.05,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,15.8,86,90,8.95,overcast clouds
18,Tramandai,BR,-29.9847,-50.1336,69.57,74,0,6.11,clear sky
19,Puerto Escondido,MX,15.85,-97.0667,80.6,74,20,4.27,few clouds
20,Klaksvik,FO,62.2266,-6.589,35.6,64,75,14.97,broken clouds
21,Cabo San Lucas,MX,22.8909,-109.9124,68.0,60,20,4.61,few clouds
22,Bat Khela,PK,34.6167,71.9714,52.16,41,100,3.47,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,73.42,42,100,3.15,light rain
24,Miraflores,MX,19.2167,-98.8083,68.0,28,20,13.8,few clouds
25,Pevek,RU,69.7008,170.3133,-5.1,82,0,2.57,clear sky
26,Zhenhai,CN,24.2582,118.0905,69.8,68,0,8.95,clear sky
27,Provideniya,RU,64.3833,-173.3,-0.17,83,100,17.87,overcast clouds
28,Chimore,BO,-16.9833,-65.1333,78.53,76,98,2.8,overcast clouds
29,Castro,BR,-24.7911,-50.0119,58.23,67,0,7.05,clear sky
30,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,0,10.36,clear sky
31,Sitka,US,57.0531,-135.33,35.6,32,75,6.91,broken clouds
32,Torbay,CA,47.6666,-52.7314,30.0,69,20,32.21,few clouds
