City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Leningradskiy,RU,2021-01-13 01:15:39,69.3833,178.4167,-17.27,87,100,18.59
1,Necochea,AR,2021-01-13 01:11:21,-38.5473,-58.7368,62.28,40,0,15.39
2,Kapaa,US,2021-01-13 01:15:40,22.0752,-159.319,80.01,69,1,10.36
3,Hun,LY,2021-01-13 01:15:40,29.1268,15.9477,53.42,55,100,14.97
4,Nanortalik,GL,2021-01-13 01:15:40,60.1432,-45.2371,31.6,96,100,5.32
5,San Cristobal,VE,2021-01-13 01:12:07,7.7669,-72.225,62.91,88,20,1.41
6,Omboue,GA,2021-01-13 01:15:41,-1.5746,9.2618,76.77,88,100,12.19
7,Bethel,US,2021-01-13 01:15:41,41.3712,-73.414,32.0,86,1,1.54
8,Inuvik,CA,2021-01-13 01:14:16,68.3499,-133.7218,1.4,85,98,3.44
9,Pumiao,CN,2021-01-13 01:15:41,22.75,108.4833,48.2,66,77,2.24
10,Busselton,AU,2021-01-13 01:15:42,-33.65,115.3333,64.0,63,0,3.0
11,Rio Grande,BR,2021-01-13 01:11:17,-32.035,-52.0986,66.0,83,100,12.8
12,Eyl,SO,2021-01-13 01:15:42,7.9803,49.8164,71.13,65,0,17.83
13,Pyaozerskiy,RU,2021-01-13 01:15:42,65.8333,31.1667,-10.1,91,64,6.4
14,Punta Arenas,CL,2021-01-13 01:15:42,-53.15,-70.9167,48.2,53,20,17.27
15,Caravelas,BR,2021-01-13 01:15:43,-17.7125,-39.2481,75.61,87,0,5.08
16,Faanui,PF,2021-01-13 01:15:43,-16.4833,-151.75,81.64,76,100,17.94
17,Torbay,CA,2021-01-13 01:15:43,47.6666,-52.7314,30.99,80,90,8.05
18,Butaritari,KI,2021-01-13 01:15:43,3.0707,172.7902,81.37,79,100,20.18
19,Atuona,PF,2021-01-13 01:15:43,-9.8,-139.0333,77.95,78,35,15.59
20,Cozumel,MX,2021-01-13 01:15:43,20.5083,-86.9458,75.99,88,40,5.75
21,Mataura,NZ,2021-01-13 01:15:43,-46.1927,168.8643,77.0,45,100,3.76
22,Liberty,US,2021-01-13 01:15:44,31.8335,-81.5004,48.2,87,90,4.61
23,Davila,PH,2021-01-13 01:15:44,18.4726,120.5763,71.6,78,75,3.44
24,Thakurgaon,BD,2021-01-13 01:11:46,26.0333,88.4667,52.75,43,0,4.79
25,Kahului,US,2021-01-13 01:15:44,20.8947,-156.47,84.2,51,20,11.5
26,Riyadh,SA,2021-01-13 01:12:51,24.6877,46.7219,48.2,43,0,5.75
27,Hithadhoo,MV,2021-01-13 01:15:44,-0.6,73.0833,82.18,76,52,19.17
28,Leshukonskoye,RU,2021-01-13 01:15:44,64.8989,45.7622,-15.47,85,0,2.93
29,Tasiilaq,GL,2021-01-13 01:15:44,65.6145,-37.6368,30.2,80,90,43.73
30,Siavonga,ZM,2021-01-13 01:15:44,-16.5382,28.7088,74.03,85,99,5.44
31,Albany,US,2021-01-13 01:15:45,42.6001,-73.9662,32.0,68,47,4.32
32,Ushuaia,AR,2021-01-13 01:15:45,-54.8,-68.3,48.2,57,20,13.8
33,Shenjiamen,CN,2021-01-13 01:15:45,29.9576,122.298,46.17,58,0,13.58
34,Olafsvik,IS,2021-01-13 01:15:45,64.8945,-23.7142,35.29,87,100,25.01
35,Tomatlan,MX,2021-01-13 01:15:45,19.9333,-105.25,68.11,73,100,2.17
36,Provideniya,RU,2021-01-13 01:15:45,64.3833,-173.3,-2.2,71,90,8.95
37,Saldanha,ZA,2021-01-13 01:15:45,-33.0117,17.9442,69.8,68,0,1.14
38,Vaini,TO,2021-01-13 01:15:45,-21.2,-175.2,86.0,79,75,11.5
39,Bansi,IN,2021-01-13 01:15:45,27.1833,82.9333,45.05,62,0,5.37
40,Bar Harbor,US,2021-01-13 01:15:46,44.3876,-68.2039,34.0,100,90,3.91
41,Isangel,VU,2021-01-13 01:15:46,-19.55,169.2667,86.0,84,75,5.75
42,Bluff,NZ,2021-01-13 01:15:46,-46.6,168.3333,62.98,70,10,9.42
43,Morondava,MG,2021-01-13 01:15:46,-20.2833,44.2833,80.35,80,100,2.62
44,Victoria,HK,2021-01-13 01:14:11,22.2855,114.1577,55.0,46,0,6.26
45,Castro,BR,2021-01-13 01:15:46,-24.7911,-50.0119,68.81,90,100,5.08
46,Teya,RU,2021-01-13 01:15:46,60.3778,92.6267,-23.66,83,99,1.81
47,Letlhakane,BW,2021-01-13 01:15:47,-21.4167,25.5833,72.97,73,22,10.54
48,Port-Gentil,GA,2021-01-13 01:15:47,-0.7193,8.7815,80.29,79,98,15.68
49,Port Alfred,ZA,2021-01-13 01:15:47,-33.5906,26.891,66.99,96,80,14.54
50,Comodoro Rivadavia,AR,2021-01-13 01:15:47,-45.8667,-67.5,57.2,82,40,17.27
51,Qaanaaq,GL,2021-01-13 01:15:47,77.484,-69.3632,9.97,84,100,2.01
52,Grindavik,IS,2021-01-13 01:15:47,63.8424,-22.4338,39.2,81,90,37.98
53,Shepsi,RU,2021-01-13 01:15:47,44.0361,39.1489,60.8,64,100,24.0
54,New Norfolk,AU,2021-01-13 01:15:48,-42.7826,147.0587,81.0,38,0,3.0
55,Rikitea,PF,2021-01-13 01:15:48,-23.1203,-134.9692,78.03,79,7,16.51
56,Erzin,TR,2021-01-13 01:15:48,36.9559,36.2,60.01,66,100,6.8
57,Hermanus,ZA,2021-01-13 01:15:48,-34.4187,19.2345,71.01,86,90,7.0
58,Port Blair,IN,2021-01-13 01:15:48,11.6667,92.75,78.93,73,86,11.81
59,Granicesti,RO,2021-01-13 01:15:48,47.8167,26.0667,32.0,100,90,5.75
60,Coquimbo,CL,2021-01-13 01:11:43,-29.9533,-71.3436,59.0,88,0,3.44
61,Hilo,US,2021-01-13 01:15:48,19.7297,-155.09,78.8,65,90,4.61
62,Standerton,ZA,2021-01-13 01:15:49,-26.9337,29.2415,64.99,92,100,4.0
63,Albury,AU,2021-01-13 01:15:49,-36.0833,146.9167,93.99,26,6,12.66
64,Lebu,CL,2021-01-13 01:15:49,-37.6167,-73.65,55.02,74,90,20.27
65,Yakeshi,CN,2021-01-13 01:15:49,49.2833,120.7333,-8.23,90,100,3.67
66,Saskylakh,RU,2021-01-13 01:15:49,71.9167,114.0833,-30.41,83,92,4.92
67,Hamilton,US,2021-01-13 01:12:20,39.1834,-84.5333,33.01,69,1,9.22
68,Pereira Barreto,BR,2021-01-13 01:15:49,-20.6383,-51.1092,75.83,80,75,4.52
69,Mahebourg,MU,2021-01-13 01:15:49,-20.4081,57.7,77.0,88,75,13.8
70,Gambela,ET,2021-01-13 01:15:50,8.25,34.5833,75.36,35,3,2.89
71,Dikson,RU,2021-01-13 01:15:50,73.5069,80.5464,-13.99,89,1,7.92
72,Jinchang,CN,2021-01-13 01:15:50,38.4953,102.1739,21.36,63,0,1.01
73,Avarua,CK,2021-01-13 01:15:50,-21.2078,-159.775,80.6,78,75,20.71
74,Bambanglipuro,ID,2021-01-13 01:15:50,-7.95,110.2833,80.11,82,94,5.35
75,Dingle,PH,2021-01-13 01:15:50,10.9995,122.6711,76.55,81,100,14.45
